pond,water_depth_m
CAP,
CAP,
CAP,
CAP,
CAP,
MDT,1.75
MDT,
MDT,
MDT,
MDT,
MDT,
MDT,
DOBA8,2.25
DOBA8,
DOBA8,
DOBA8,
DOBA8,
DOBA8,
DOBA8,
DOBA8,
DOBA8,
LM-ARB,0.78
LM-ARB,
LM-ARB,
LM-ARB,
UM-ARB,1.1
UM-ARB,
UM-ARB,
UM-ARB,
UM-ARB,
ALC,0.75
ALC,
ALC,
DOBA5,2
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DCSW1,2.15
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW2,1.8
DCSW2,
DCSW2,
DCSW2,
DCSW2,
DCSW2,
DCSW2,
DCSW2,
DCSW3,1.8
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DOBA4,1.7
DOBA4,
DOBA4,
DOBA4,
DOBA4,
DOBA4,
DOBA4,
DOBA7,1.75
DOBA7,
DOBA7,
DOBA7,
DOBA7,
DOBA7,
DOBA7,
DOBA7,
OPP-W,2.75
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-E,1.78
OPP-E,
OPP-E,
OPP-E,
OPP-E,
OPP-E,
OPP-E,
L60-UW,1.22
L60-UW,
L60-UW,
L60-UW,
L60-UW,
LM-ARB,0.7
LM-ARB,
LM-ARB,
UM-ARB,0.8
UM-ARB,
UM-ARB,
UM-ARB,
O-S,1.15
O-S,
O-S,
O-S,
O-S,
O-N,1.1
O-N,
O-N,
O-N,
O-N,
KP,1
KP,
KP,
KP,
DOBA5,2.1
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
CAP,1.76
CAP,
CAP,
CAP,
CAP,
CAP,
CAP,
CAP,
DOBA4,1.75
DOBA4,
DOBA4,
DOBA4,
DOBA4,
DOBA4,
DOBA4,
DCSW3,2.1
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DCSW1,1.85
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW2,1.78
DCSW2,
DCSW2,
DCSW2,
DCSW2,
DCSW2,
DCSW2,
MDT,1.7
MDT,
MDT,
MDT,
MDT,
MDT,
MDT,
ELV,3.1
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
DOBA8,2.1
DOBA8,
DOBA8,
DOBA8,
DOBA8,
DOBA8,
DOBA8,
DOBA8,
DOBA8,
MDT,1.55
MDT,
MDT,
MDT,
MDT,
MDT,
MDT,
DOBA8,1.9
DOBA8,
DOBA8,
DOBA8,
DOBA8,
DOBA8,
DOBA8,
DOBA8,
ELV,3.15
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
L60-UW,1.1
L60-UW,
L60-UW,
L60-UW,
L60-UW,
HP-UW,1.9
HP-UW,
HP-UW,
HP-UW,
HP-UW,
HP-UW,
HP-UW,
HP-UW,
ALC,0.8
ALC,
ALC,
ALC,
O-S,1.15
O-S,
O-S,
O-S,
O-S,
O-N,1.15
O-N,
O-N,
O-N,
O-N,
KP,1.25
KP,
KP,
KP,
KP,
DOBA7,1.7
DOBA7,
DOBA7,
DOBA7,
DOBA7,
DOBA7,
DOBA7,
DOBA5,1.77
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
CAP,1.15
CAP,
CAP,
CAP,
CAP,
DCSW3,1.98
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DCSW1,2.2
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW2,1.8
DCSW2,
DCSW2,
DCSW2,
DCSW2,
DCSW2,
DCSW2,
DCSW2,
OPP-E,1.55
OPP-E,
OPP-E,
OPP-E,
OPP-E,
OPP-E,
OPP-E,
OPP-W,2.76
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
LM-ARB,0.99
LM-ARB,
LM-ARB,
LM-ARB,
UM-ARB,1.1
UM-ARB,
UM-ARB,
UM-ARB,
ALC,0.78
ALC,
ALC,
ALC,
LM-ARB,1.1
LM-ARB,
LM-ARB,
LM-ARB,
LM-ARB,
UM-ARB,0.77
UM-ARB,
UM-ARB,
UM-ARB,
OPP-E,1.6
OPP-E,
OPP-E,
OPP-E,
OPP-E,
OPP-E,
OPP-E,
OPP-W,2.75
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
O-S,1.1
O-S,
O-S,
O-S,
O-S,
O-N,1.1
O-N,
O-N,
O-N,
O-N,
KP,1.2
KP,
KP,
KP,
KP,
ELV,3.25
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
DOBA7,1.5
DOBA7,
DOBA7,
DOBA7,
DOBA7,
DOBA7,
DCSW1,1.8
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW2,1.5
DCSW2,
DCSW2,
DCSW2,
DCSW2,
DCSW2,
DCSW3,2.15
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DOBA4,1.7
DOBA4,
DOBA4,
DOBA4,
DOBA4,
DOBA4,
DOBA4,
DOBA4,
DOBA5,2.1
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
CAP,1.25
CAP,
CAP,
CAP,
CAP,
CAP,
HP-UW,2.15
HP-UW,
HP-UW,
HP-UW,
HP-UW,
HP-UW,
HP-UW,
HP-UW,
HP-UW,
L60-UW,1.15
L60-UW,
L60-UW,
L60-UW,
L60-UW,
MDT,1.65
MDT,
MDT,
MDT,
MDT,
MDT,
MDT,
DOBA8,2.1
DOBA8,
DOBA8,
DOBA8,
DOBA8,
DOBA8,
DOBA8,
DOBA8,
DOBA8,
