Pond_Id,SA_ha
OPP-W,0.18
OPP-E,0.14
DOBA7,0.83
LM-ARB,0.29
UM-ARB,0.56
CAP,0.37
DOBA4,0.41
DOBA5,0.37
ALC,0.24
ELV,0.82
DCSW1,0.34
DCSW2,0.4
DCSW3,1.01
MDT,0.44
DOBA8,0.43
HP-UW,0.38
KP,0.47
O-S,0.49
O-N,0.68
L60-UW,0.34
