pond,Floating,Algae,Emergent
ALC,80,50,30
CAP,75,10,25
DCSW1,15,40,40
DCSW2,80,70,10
DCSW3,20,40,25
DOBA4,60,0,40
DOBA5,0,100,0
DOBA7,60,0,0
DOBA8,15,15,10
ELV,15,10,20
HP-UW,5,15,0
KP,90,10,28
L60-UW,60,10,60
LM-ARB,0,2,0
MDT,25,20,20
O-N,5,1,0
O-S,40,40,0
OPP-E,15,2,0
OPP-W,40,0,10
UM-ARB,0,5,20
