pond,date,N_Number,chloride_mgL,sulfate_mgL
DCSW3,2022-02-09,143,14.18,5.83
DCSW2,2022-02-09,144,54.97,14.31
DOBA4,2022-02-09,145,27.71,1.78
DOBA5,2022-02-09,146,23.11,1.75
CAP,2022-02-09,147,136.75,3.91
HP-UW,2022-02-09,148,321.97,39.95
L60-UW,2022-02-09,149,114.71,3.87
O-S,2022-02-10,150,67.78,10.1
O-N,2022-02-10,151,56.25,17.31
DOBA8,2022-02-10,152,24.71,4.9
MDT,2022-02-10,153,37.7,4.09
ELV,2022-02-10,154,26.38,3.49
KP,2022-02-10,155,50.08,1.05
DOBA7,2022-02-11,156,370.68,7.34
OPP-E,2022-02-11,157,9.52,2.41
OPP-W,2022-02-11,158,46.68,5.82
UM-ARB,2022-02-11,159,208.44,22.91
LM-ARB,2022-02-11,160,183.91,22.24
