pond,date,N_Number,chloride_mgL,sulfate_mgL,,,,,
ALC,1/27/22,121,384.66,7.32,,,,,
DOBA5,1/27/22,122,22.22,2.05,,,,,6.25
DOBA4,1/27/22,123,23.75,2.15,,,,,430.87
DCSW3,1/27/22,124,9.4,5.77,,,,,
DCSW2,1/27/22,125,52.59,14.11,,,,,
DCSW1,1/27/22,126,47.03,12.89,,,,,
CAP,1/27/22,127,35.52,2.59,,,,,
ELV,1/30/22,128,27.57,3.25,,,,,
MDT,1/30/22,129,28.31,3.66,,,,,
DOBA8,1/30/22,130,22.71,5.14,,,,,
O-S,1/30/22,131,65.88,11.05,,,,,
O-N,1/30/22,132,63.02,19.1,,,,,
KP,1/30/22,133,43.66,0.94,,,,,
OPP-W,1/31/22,134,44.86,7.21,,,,,
OPP-E,1/31/22,135,8.25,3.49,,,,,
DOBA7,1/31/22,136,295.189,7.15,,,,,
HP-UW,1/31/22,137,342.84,41.27,,,,,
L60-UW,1/31/22,138,93.96,4.49,,,,,
UM-ARB,1/31/22,139,132.63,19.7,,,,,
LM-ARB,1/31/22,140,138.65,20.38,,,,,
ALC,2/9/22,141,430.87,4.66,,,,,
DCSW1,2/9/22,142,47.51,12.93,,,,,
DCSW3,2/9/22,143,14.18,5.83,,,,,
DCSW2,2/9/22,144,54.97,14.31,,,,,
DOBA4,2/9/22,145,27.71,1.78,,,,,
DOBA5,2/9/22,146,23.11,1.75,,,,,
CAP,2/9/22,147,136.75,3.91,,,,,
HP-UW,2/9/22,148,321.97,39.95,,,,,
L60-UW,2/9/22,149,114.71,3.87,,,,,
O-S,2/10/22,150,67.78,10.1,,,,,
O-N,2/10/22,151,56.25,17.31,,,,,
DOBA8,2/10/22,152,24.71,4.9,,,,,
MDT,2/10/22,153,37.7,4.09,,,,,
ELV,2/10/22,154,26.38,3.49,,,,,
KP,2/10/22,155,50.08,1.05,,,,,
DOBA7,2/11/22,156,370.68,7.34,,,,,
OPP-E,2/11/22,157,9.52,2.41,,,,,
OPP-W,2/11/22,158,46.68,5.82,,,,,
UM-ARB,2/11/22,159,208.44,22.91,,,,,
LM-ARB,2/11/22,160,183.91,22.24,,,,,
