sample_id,vol,chla,chlb,chla_correct_ugl,phaeophytin,flag_turb,pre_max,post_max,file
DOBA8_210610,0.4,7.6,4.2,9.9,-1,,,,22020r2.csv
O-N_210611,0.17,69.6,37.7,80.6,7.7,,,,22020r2.csv
OPP-E_210602,0.285,21,9.4,24,1.9,,,,22020r2.csv
OPP-W_210602,0.06,71.3,36.8,78.6,13.6,,,,22020r2.csv
ALC_210615,0.2,25.3,11.6,30.6,-0.5,k,,,22020r3.csv
BLA,3,0,0,0,0,,,,22020r3.csv
CAP_210616,0.2,36.3,18.3,52.6,-13,k,,,22020r3.csv
DOBA4_210616,0.1,55.8,36.5,69.8,0.5,k,,,22020r3.csv
DOBA5_210616,0.4,7.5,5.8,6.4,5.2,k,,,22020r3.csv
DOBA7_210614,0.2,86.5,42,91.9,19.9,k,,,22020r3.csv
HP_210618,0.3,11.1,6.5,11.5,3.5,,,,22020r3.csv
LM-ARB_210615,0.1,133,77.9,123.7,64.8,k,,,22020r3.csv
OPP-E_210614,0.18,75.4,54.3,83.2,21.5,k,,,22020r3.csv
OPP-W_210614,0.055,548.6,212.1,635.5,18.8,k,,,22020r3.csv
UM-ARB_210615,0.1,173.5,121.8,195,42.7,,,,22020r3.csv
BLA,3,0,0,0.1,-0.1,k,,,22020r4.csv
DCSW1_210621,0.5,2.4,0.9,2.6,0.5,,,,22020r4.csv
DCSW2_210621,0.2,21.2,13.9,29,-3.3,,,,22020r4.csv
DCSW3_210621,0.2,13.4,6.4,8.7,11.7,,,,22020r4.csv
DOBA8_210617,0.2,17,12,11.1,16.5,k,,,22020r4.csv
ELV_210617,0.1,61.7,22.5,70.6,2.9,,,,22020r4.csv
KP_210622,0.065,136.8,57.5,134.9,43.7,,,,22020r4.csv
L60_210618,0.5,1.8,2,0.7,2.8,k,,,22020r4.csv
MDT_210617,0.1,60.5,12.3,28.6,61.5,,,,22020r4.csv
O-N_210622,0.1,36.1,18.8,34.2,15.5,,,,22020r4.csv
O-S_210622,0.2,14.1,9.5,14.5,5.2,k,,,22020r4.csv
ALC_210702,0.2,36,16.7,43.8,-0.8,k,,,22020r5.csv
BLA,3,0,0,0,0,,,,22020r5.csv
DCSW1_210701,0.2,18.1,8.6,22.7,-1.2,k,,,22020r5.csv
DCSW3_210701,0.5,3.6,2,2.8,2.5,k,,,22020r5.csv
DOBA4_210701,0.1,40.2,15,44.6,4.3,k,,,22020r5.csv
L60_210702,0.3,8.2,6.3,9.8,1.3,k,,,22020r5.csv
LM-ARB_210630,0.1,76,55,85.1,20.2,,,,22020r5.csv
MDT_210630,0.2,37.4,16,42,4.1,,,,22020r5.csv
O-N_210702,0.2,53.1,22.1,55.9,11.1,k,,,22020r5.csv
O-S_210702,0.2,26.8,10.7,35.1,-5.5,,,,22020r5.csv
OPP-W_210629,0.1,158.2,100,164.9,53.1,k,,,22020r5.csv
BLA,3,0,0,0.2,-0.3,,,,22020r6.csv
CAP_210701,0.3,14.3,6.6,19.4,-3.4,,,,22020r6.csv
DCSW1_210701,0.2,20.6,8.6,23.6,1.3,,,,22020r6.csv
DOBA5_210701,0.1,63.7,42.2,88,-11.3,,,,22020r6.csv
DOBA7_210629,0.17,92,37.7,105.7,5.5,,,,22020r6.csv
DOBA8_210630,0.2,17.8,8.4,21.5,-0.2,,,,22020r6.csv
ELV_210630,0.3,20.3,8.9,26.7,-3.8,,,,22020r6.csv
HP_210629,0.3,8.3,5.9,9,2.4,k,,,22020r6.csv
KP_210702,0.1,74.3,35,82.1,11.7,k,,,22020r6.csv
OPP-E_210629,0.1,157.8,125.2,196.1,16.5,,,,22020r6.csv
UM-ARB_210630,0.15,108,23.4,131.2,-14.9,,,,22020r6.csv
